State/Area,N,P,K
Andhra Pradesh,48,61,58
Arunachal Pradesh,92,94,88
Assam,66,54,18
Bihar,61,59,47
Chhattisgarh,62,47,37
Delhi,89,89,95
Goa,42,41,24
Gujarat,48,47,51
Haryana,63,55,19
Himachal Pradesh,84,73,71
Jammu & Kashmir,74,61,52
Jharkhand,67,42,35
Karnataka,64,52,27
Kerala,67,39,41
Madhya Pradesh,60,42,32
Maharashtra,57,38,35
Manipur,69,60,36
Meghalaya,80,83,47
Mizoram,91,91,83
Nagaland,89,84,51
Orissa,74,53,48
Punjab,76,60,44
Rajasthan,51,40,36
Sikkim,80,77,64
Tamil Nadu,62,55,36
Tripura,70,53,41
Uttar Pradesh,67,49,28
Uttarakhand,78,66,47
West Bengal,68,39,34
